"Designator","Mid X","Mid Y","Layer","Rotation"
"J7","111.475mm","-95.015mm","top","-90.0"
"MH2","161.5mm","-73.5mm","top","0.0"
"U4","122.55mm","-81.1625mm","top","180.0"
"C8","141.6mm","-84.805mm","top","180.0"
"R3","153.6mm","-88.825mm","top","90.0"
"C6","134.125mm","-86.4mm","top","0.0"
"J3","122.550424mm","-89.64012mm","top","0.0"
"U2","133.525mm","-81.605mm","top","0.0"
"C1","122.3875mm","-84.5125mm","top","0.0"
"R1","127.45mm","-81.2125mm","top","-90.0"
"J5","154.5mm","-80.6mm","top","0.0"
"Y1","143.6mm","-80.6mm","top","0.0"
"J2","146.73mm","-89.6325mm","top","0.0"
"J6","159.9mm","-88.6mm","top","0.0"
"C3","125.75mm","-81.2375mm","top","-90.0"
"R2","127.45mm","-84.4125mm","top","-90.0"
"C4","106.7mm","-78.1mm","top","180.0"
"R5","129.1mm","-80.1mm","top","90.0"
"U3","134.595mm","-91.275mm","top","0.0"
"J4","101.300mm","-88.5875mm","top","0.0"
"MH3","103.5mm","-96.5mm","top","0.0"
"L2","115mm","-81.1mm","top","90.0"
"MH1","103.5mm","-73.5mm","top","0.0"
"R4","138.3mm","-93.1mm","top","90.0"
"C2","123.6875mm","-78.4125mm","top","180.0"
"MH4","161.5mm","-96.5mm","top","0.0"
"C7","146.47mm","-84.805mm","top","0.0"
"C5","106.7mm","-80.7mm","top","180.0"
