Ref,Val,Package,PosX,PosY,Rot,Side
"C1","15 uf","C_1206_3216Metric",20.600000,15.600000,180.000000,top
"C2","100 nf","C_0603_1608Metric",21.900000,21.700000,180.000000,top
"C3","100 pf","C_0603_1608Metric",23.962500,18.875000,-90.000000,top
"C4","47 uf","C_1206_3216Metric",6.700000,21.900000,180.000000,top
"C5","47 uf","C_1206_3216Metric",11.800000,22.300000,0.000000,top
"C6","100 nf","C_0603_1608Metric",34.125000,13.600000,0.000000,top
"C7","22 pf","C_0603_1608Metric",46.470000,15.195000,0.000000,top
"C8","22 pf","C_0603_1608Metric",41.600000,15.195000,180.000000,top
"L2","15 uH","L_Changjiang_FNR6045S",13.700000,17.350000,90.000000,top
"R1","100kOhm","R_0603_1608Metric",25.662500,18.900000,-90.000000,top
"R2","13.3kOhm","R_0603_1608Metric",25.662500,15.700000,-90.000000,top
"R3","120 Ohm","R_0603_1608Metric",53.600000,11.175000,90.000000,top
"R4","1kOhm","R_0603_1608Metric",38.300000,6.900000,90.000000,top
"R5","10kOhm","R_0603_1608Metric",29.100000,19.900000,90.000000,top
"U2","MCP2515-xST","TSSOP-20_4.4x6.5mm_P0.65mm",33.525000,18.395000,90.000000,top
"U3","SN65HVD230","SOIC-8_3.9x4.9mm_P1.27mm",34.595000,8.725000,-90.000000,top
"U4","TPS54302","SOT-23-6",20.762500,18.950000,0.000000,top
