"Designator","Mid X","Mid Y","Layer","Rotation"
"R16","152.4mm","-90.1mm","top","90.0"
"U6","147mm","-79.5mm","top","180.0"
"MH2","161.5mm","-73.5mm","top","0.0"
"J5","124.2875mm","-97.15mm","top","0.0"
"U1","114.05mm","-89.1mm","top","90.0"
"J7","112.2mm","-94.725mm","top","180.0"
"J4","127.8mm","-74.7mm","top","180.0"
"C16","136.9mm","-94.4mm","top","-90.0"
"R10","125.9mm","-92.2mm","top","180.0"
"C19","150mm","-73.5mm","top","-90.0"
"C12","147.9mm","-82.8mm","top","0.0"
"L1","139mm","-77.6mm","top","90.0"
"C9","132.4mm","-87mm","top","270.0"
"R4","122.6mm","-92.2mm","top","0.0"
"U2","123.55mm","-87.8625mm","top","270.0"
"C17","134.3mm","-94.375mm","top","-90.0"
"MH3","103.5mm","-96.5mm","top","0.0"
"MH1","103.5mm","-73.5mm","top","0.0"
"C20","139.5mm","-94.4mm","top","-90.0"
"R17","126.2mm","-82.025mm","top","90.0"
"C2","144mm","-93.2mm","top","180.0"
"C1","119.825mm","-83.4mm","top","0.0"
"R1","117.9mm","-94.425mm","top","90.0"
"R12","119.1mm","-90.7mm","top","180.0"
"C6","113.675mm","-85.4mm","top","180.0"
"C10","108.525mm","-88.7mm","top","0.0"
"C11","151.4mm","-81.25mm","top","90.0"
"J3","149mm","-95.8mm","top","180.0"
"C15","154.1mm","-90.125mm","top","90.0"
"C4","147.4mm","-73.5mm","top","-90.0"
"R3","118.5mm","-97.2mm","top","180.0"
"R15","153.2mm","-92.5mm","top","0.0"
"Q1","119.2mm","-87mm","top","0.0"
"MH4","161.5mm","-96.5mm","top","0.0"
"U8","123.35mm","-82.3625mm","top","270.0"
"C3","151.4mm","-78.125mm","top","90.0"
"J2","103.5mm","-84.75mm","top","-90.0"
"R7","153.1mm","-78.025mm","top","-90.0"
"R18","131.8mm","-75.2875mm","top","-90.0"
"C8","144.8mm","-73.5mm","top","-90.0"
"U5","112.65mm","-81.85mm","top","270.0"
"C18","159.7mm","-86.9mm","top","180.0"
"D1","131.8mm","-78.5mm","top","90.0"
"C5","117mm","-79.9mm","top","0.0"
"R8","153.1mm","-81.225mm","top","90.0"
"U3","148.8625mm","-88.9mm","top","180.0"
"R11","126.6mm","-88.025mm","top","90.0"
"L2","141mm","-87.3mm","top","90.0"
"C14","149.9mm","-86.2mm","top","180.0"
